image_path,class_name,confidence,x_center,y_center,width,height
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_140.jpg,cat,0.87246287,175.22041,176.10443,310.49057,172.46405
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_141.jpg,cat,0.5132269,177.27484,240.86131,310.50342,451.54953
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_142.jpg,cat,0.72216654,289.19742,248.74556,309.57495,339.56888
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_143.jpg,cat,0.81632125,264.69086,236.21114,279.6369,412.05814
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_144.jpg,cat,0.7441223,288.85367,181.88675,415.5374,340.04242
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_145.jpg,cat,0.6507588,215.76602,281.76407,407.1916,336.97165
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_146.jpg,cat,0.88602227,172.2691,235.63287,265.05005,345.6156
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_148.jpg,cat,0.58942324,243.16553,209.00732,475.14716,194.55383
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_149.jpg,cat,0.7191858,173.46428,177.02039,342.36215,282.9162
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_15.jpg,cat,0.37378085,237.23032,219.79721,453.90424,404.40558
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_15.jpg,dog,0.3412034,246.61458,218.9123,441.048,405.55792
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_150.jpg,cat,0.6588901,250.66943,161.63458,481.81134,293.92957
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_151.jpg,cat,0.8350492,177.75754,129.41304,158.14893,139.367
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_152.jpg,cat,0.75286585,246.4532,164.2105,168.77322,254.16623
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_153.jpg,dog,0.3551471,228.17723,146.08554,400.66458,163.91278
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_154.jpg,cat,0.8306854,263.02045,205.595,301.32864,320.8792
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_155.jpg,cat,0.6148647,309.2597,188.18684,495.3408,280.39566
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_156.jpg,cat,0.5594757,243.58015,180.28806,422.5134,293.98486
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_157.jpg,cat,0.6819624,286.6958,173.90218,412.32275,337.269
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_160.jpg,cat,0.6748111,223.95824,186.7458,320.98642,210.99863
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_161.jpg,cat,0.5232339,234.50452,224.94289,436.1062,427.96292
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_164.jpg,cat,0.6114321,254.55882,156.44142,129.19223,161.57877
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_166.jpg,cat,0.49649584,147.00638,110.74479,274.151,204.16255
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_168.jpg,cat,0.25760412,199.43729,157.85782,379.8739,214.68706
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_169.jpg,cat,0.7146395,170.32262,167.75012,243.87807,264.49976
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_17.jpg,cat,0.8915433,147.98404,221.5781,202.63553,256.05817
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_170.jpg,cat,0.82505125,745.3279,654.35364,779.5569,855.9085
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_172.jpg,dog,0.43981096,393.0767,355.33826,688.4443,633.5
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_173.jpg,cat,0.7681952,187.93613,141.35614,327.13788,220.66595
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_174.jpg,cat,0.74973494,130.2781,125.28011,227.16638,205.57533
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_175.jpg,cat,0.75801057,259.4647,122.64187,501.8133,198.13472
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_176.jpg,cat,0.7522226,240.24278,233.90662,293.39914,424.65765
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_177.jpg,cat,0.8988951,120.059875,155.10857,139.5,173.82455
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_178.jpg,cat,0.76634157,197.54703,192.04292,376.37775,363.20786
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_179.jpg,cat,0.67661494,152.34265,190.95206,158.42664,330.19763
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_18.jpg,cat,0.80837893,145.49594,259.2139,282.17163,337.7094
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_181.jpg,dog,0.5933103,106.765366,184.00906,150.40063,228.5351
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_182.jpg,cat,0.7511215,306.17102,186.62323,267.86194,353.57312
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_183.jpg,cat,0.8964327,267.1115,175.88287,259.73083,241.54211
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_184.jpg,cat,0.83804923,282.2651,181.64185,159.74309,183.59172
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_185.jpg,cat,0.66263115,158.44836,108.7872,271.0318,202.81552
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_19.jpg,cat,0.5793765,138.81831,175.09692,222.05836,313.27637
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_190.jpg,cat,0.62841064,148.0397,141.58069,199.05135,209.7397
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_192.jpg,cat,0.6662326,216.35594,98.71891,163.10275,144.42955
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_195.jpg,cat,0.7607741,92.30932,154.43427,159.42421,291.13147
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_197.jpg,cat,0.25250125,84.97903,97.61689,166.49825,195.23378
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_2.jpg,cat,0.76543957,216.19737,240.27919,206.73007,450.4562
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_20.jpg,cat,0.8068997,234.67303,203.43651,139.7683,324.08963
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_201.jpg,cat,0.34900987,131.68008,111.82925,71.86806,52.49434
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_201.jpg,cat,0.28340256,155.7404,177.60287,102.779076,86.58247
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_202.jpg,dog,0.55217713,175.786,131.89632,119.77065,154.87216
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_204.jpg,cat,0.52984023,106.84573,166.76266,177.23108,245.35728
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_21.jpg,cat,0.81076974,161.85652,179.11044,315.99466,314.3947
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_210.jpg,cat,0.7157414,134.88052,165.5329,202.96364,258.50836
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_213.jpg,cat,0.71461457,101.22301,142.27615,145.45236,243.7727
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_215.jpg,cat,0.27712798,161.73343,98.5294,204.72919,183.44196
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_216.jpg,cat,0.49325347,169.12198,114.217354,248.48169,221.28123
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_217.jpg,cat,0.2519466,135.51794,99.87502,149.70691,161.87364
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_219.jpg,cat,0.6858854,105.32518,144.27516,147.2161,259.35703
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_22.jpg,cat,0.77695024,258.4302,187.03372,346.3649,252.30342
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_221.jpg,cat,0.29804194,141.20694,135.08148,218.59023,212.04108
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_223.jpg,cat,0.8542329,159.7597,124.14603,154.25836,196.04767
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_224.jpg,cat,0.6901991,114.0538,155.52315,181.7239,269.2477
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_225.jpg,cat,0.49021962,113.675644,149.67293,216.99619,283.43216
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_228.jpg,cat,0.5531262,143.63957,115.30449,266.8956,205.96085
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_230.jpg,cat,0.5366028,158.42119,111.51827,267.97433,182.69405
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_232.jpg,cat,0.7695964,140.79118,153.41235,117.44628,256.92072
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_24.jpg,cat,0.90350837,449.13788,308.3252,414.05676,557.506
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_25.jpg,cat,0.904662,121.85499,194.84879,243.70998,260.6338
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_26.jpg,cat,0.6864789,239.49712,170.31157,289.4241,306.33273
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_27.jpg,cat,0.73712873,179.70218,142.62971,356.46356,276.56955
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_29.jpg,cat,0.64417255,739.93414,648.5025,844.90125,1003.35974
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_3.jpg,cat,0.81747484,312.99188,355.16913,231.32346,489.3888
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_30.jpg,cat,0.7969062,169.50122,238.40227,307.2386,205.0748
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_31.jpg,cat,0.7407595,143.54793,207.26117,229.20792,373.38293
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_32.jpg,cat,0.87526333,824.2584,620.7804,827.8037,627.8655
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_33.jpg,cat,0.8464226,192.85262,167.1119,278.8762,222.84525
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_36.jpg,cat,0.7036551,243.0771,204.70647,153.40854,293.20132
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_37.jpg,cat,0.6933022,1078.2178,648.3976,1043.5646,580.327
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_4.jpg,cat,0.8237664,177.4067,284.62833,300.45407,387.82614
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_40.jpg,cat,0.70769954,870.1382,656.4278,1513.9238,1231.6049
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_43.jpg,cat,0.83559585,205.80226,239.4779,167.89713,223.16963
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_44.jpg,cat,0.7354062,450.4092,456.2564,675.1695,882.9934
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_45.jpg,cat,0.7340638,105.98726,89.781975,126.4906,143.69371
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_46.jpg,cat,0.7959601,159.49898,226.40636,297.45316,260.80655
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_47.jpg,cat,0.3704352,246.98402,166.65698,467.97922,320.34143
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_48.jpg,cat,0.8182085,153.74779,234.45905,265.1166,414.48785
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_49.jpg,cat,0.66000795,171.48561,309.0997,323.3586,359.72455
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_5.jpg,cat,0.43920895,125.61331,72.20716,123.84503,128.89632
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_50.jpg,cat,0.30950865,156.92378,19.02989,294.9305,37.489956
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_51.jpg,cat,0.68566567,318.58313,297.84357,358.16965,580.5038
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_52.jpg,cat,0.8076941,290.44672,158.08163,390.7507,298.84753
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_54.jpg,cat,0.8734731,292.14423,188.14589,222.85516,365.2623
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_55.jpg,cat,0.53565687,130.49818,145.62675,250.25687,251.07909
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_56.jpg,cat,0.7671564,142.19936,101.30222,125.62747,164.01668
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_57.jpg,cat,0.70035297,183.42484,235.78143,360.42975,440.58588
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_58.jpg,cat,0.5753632,127.8986,280.71783,247.53023,422.52988
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_6.jpg,cat,0.8166115,207.04906,276.96045,398.6072,435.3766
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_60.jpg,cat,0.68001205,241.78694,165.39903,261.64212,325.31473
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_62.jpg,cat,0.7697755,154.33113,158.86227,308.66226,304.8689
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_65.jpg,dog,0.5908953,221.18887,134.88275,170.78499,222.18484
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_66.jpg,cat,0.72424453,161.05576,262.4324,260.09186,382.7414
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_67.jpg,cat,0.6868943,74.151024,139.72742,84.66376,243.82831
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_68.jpg,cat,0.7973114,158.46317,246.65613,298.32593,447.91138
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_69.jpg,cat,0.8160234,161.81116,234.0318,203.54803,340.5373
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_70.jpg,dog,0.49466008,167.0138,240.8843,334.0276,452.82516
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_70.jpg,cat,0.34734744,165.50772,237.45233,330.9937,447.01904
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_71.jpg,dog,0.6468268,487.58374,295.6131,592.64465,385.8469
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_71.jpg,cat,0.5766805,486.261,297.2978,601.43225,377.46857
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_72.jpg,cat,0.8212995,206.53735,200.10464,248.14276,389.94647
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_73.jpg,dog,0.5925717,201.7633,133.48997,229.53954,224.41891
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_74.jpg,cat,0.6225818,163.71846,265.15775,303.15182,451.94244
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_75.jpg,cat,0.7443571,140.73035,255.59808,161.43626,240.9502
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_76.jpg,cat,0.6105228,161.77615,251.87067,122.93495,148.37602
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_77.jpg,cat,0.8342554,262.904,208.08647,300.91187,321.548
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_78.jpg,cat,0.8553508,155.55025,256.1129,179.52301,366.60953
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_79.jpg,cat,0.70847213,229.68837,155.66826,315.9019,267.60538
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_8.jpg,cat,0.80867666,234.86917,182.54553,165.87042,289.73926
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_80.jpg,cat,0.9218375,730.2256,410.01758,623.94995,779.32715
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_81.jpg,cat,0.5901092,241.89093,186.75783,478.00653,369.35336
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_82.jpg,cat,0.6598005,162.82416,219.07903,267.64447,414.92502
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_83.jpg,cat,0.7302835,177.33179,283.99634,248.77869,294.51953
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_84.jpg,cat,0.8164258,145.98447,211.06273,194.79407,348.13913
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_85.jpg,cat,0.5070584,109.396,168.86496,201.90211,214.17212
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_85.jpg,cat,0.42480633,261.09845,232.6051,428.0932,365.99896
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_86.jpg,cat,0.7191425,154.37384,214.89505,306.25183,325.1922
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_87.jpg,cat,0.6144209,190.63663,146.2385,373.3515,281.58362
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_88.jpg,cat,0.57307774,251.9535,177.28568,486.49228,326.7221
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_89.jpg,cat,0.7343287,235.68556,192.82346,471.37112,376.5556
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_9.jpg,cat,0.5494496,236.10905,207.96573,420.57523,241.1801
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_90.jpg,cat,0.8346179,204.97516,262.4777,392.04968,443.1182
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_91.jpg,cat,0.7524878,120.59014,136.47922,121.74721,246.56975
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_92.jpg,cat,0.74594563,207.87585,269.4486,271.09644,439.6822
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_93.jpg,cat,0.75992405,242.00063,187.56706,467.65878,353.7147
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_94.jpg,cat,0.8258163,297.06702,313.45724,147.1984,355.34357
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_95.jpg,cat,0.5038723,233.32375,216.29727,283.3525,423.42523
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_96.jpg,cat,0.92725724,205.87383,295.65372,150.15091,357.32135
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_97.jpg,cat,0.8647161,167.67665,144.03047,241.75162,215.3984
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_98.jpg,cat,0.5605092,260.49063,211.10977,466.8044,320.93024
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_99.jpg,cat,0.86330557,230.27792,165.90765,206.76643,179.2348
f:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_10.jpg,dog,0.7607446,274.2504,186.17987,348.24094,281.94006
f:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_100.jpg,dog,0.8894787,233.68047,161.99612,113.30936,157.19536
f:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_101.jpg,dog,0.9239761,241.15991,177.12088,228.37535,288.88196
f:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_102.jpg,dog,0.8470821,137.26768,269.9634,235.57481,352.41345
f:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_103.jpg,dog,0.9315333,153.22292,262.7577,162.85687,289.52487
f:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_104.jpg,dog,0.8727008,271.63318,176.88094,330.2681,302.60812
f:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_105.jpg,dog,0.7565374,292.716,192.92664,248.98994,266.0852
f:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_106.jpg,dog,0.3116959,146.09824,130.9497,285.81165,238.5757
f:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_107.jpg,dog,0.7101317,157.38718,278.08966,234.3466,411.665
f:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_108.jpg,dog,0.4160764,125.72729,305.6319,241.94093,350.8744
f:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_109.jpg,dog,0.87815756,164.29593,248.67905,192.1723,199.47652
f:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_11.jpg,dog,0.7444889,285.47867,220.49225,260.52838,298.37067
f:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_110.jpg,dog,0.40671492,185.98572,267.60962,355.29828,346.7808
f:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_111.jpg,dog,0.53827024,188.32617,173.73393,336.59174,305.41147
f:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_112.jpg,dog,0.8113818,162.50377,235.01709,217.69534,345.80627
f:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_113.jpg,dog,0.6403083,316.43048,175.8789,306.01505,284.21277
f:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_114.jpg,dog,0.5584667,309.02655,207.41705,354.8449,316.03912
f:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_115.jpg,dog,0.8889707,312.61536,154.86209,259.59378,210.34058
f:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_116.jpg,dog,0.31588006,264.21515,248.70358,216.08247,425.67688
f:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_117.jpg,dog,0.8691296,184.34978,262.70697,234.10251,386.829
f:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_118.jpg,dog,0.7837428,159.13902,350.1579,313.9202,285.43762
f:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_119.jpg,dog,0.92251956,181.47934,247.4312,177.6743,337.681
