image_path,true_class,class_name
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_131.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_132.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_133.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_134.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_135.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_136.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_137.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_138.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_139.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_14.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_140.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_141.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_142.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_143.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_144.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_145.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_146.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_148.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_149.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_15.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_150.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_151.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_152.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_153.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_154.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_155.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_156.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_157.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_158.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_159.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_16.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_160.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_161.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_164.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_165.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_166.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_167.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_168.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_169.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_17.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_170.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_172.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_173.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_174.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_175.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_176.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_177.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_178.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_179.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_18.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_180.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_181.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_182.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_183.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_184.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_185.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_19.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_190.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_191.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_192.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_193.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_195.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_196.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_197.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_2.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_20.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_201.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_202.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_204.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_205.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_206.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_207.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_21.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_210.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_212.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_213.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_215.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_216.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_217.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_219.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_22.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_220.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_221.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_223.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_224.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_225.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_226.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_228.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_230.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_232.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_24.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_25.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_26.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_27.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_29.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_3.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_30.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_31.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_32.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_33.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_36.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_37.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_4.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_40.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_43.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_44.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_45.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_46.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_47.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_48.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_49.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_5.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_50.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_51.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_52.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_54.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_55.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_56.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_57.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_58.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_6.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_60.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_61.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_62.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_63.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_65.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_66.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_67.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_68.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_69.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_7.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_70.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_71.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_72.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_73.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_74.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_75.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_76.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_77.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_78.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_79.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_8.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_80.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_81.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_82.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_83.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_84.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_85.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_86.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_87.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_88.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_89.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_9.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_90.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_91.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_92.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_93.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_94.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_95.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_96.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_97.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_98.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_99.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_10.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_100.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_101.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_102.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_103.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_104.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_105.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_106.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_107.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_108.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_109.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_11.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_110.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_111.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_112.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_113.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_114.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_115.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_116.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_117.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_118.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_119.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_12.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_120.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_121.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_122.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_123.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_124.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_125.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_126.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_127.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_128.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_129.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_13.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_130.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_131.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_132.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_133.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_134.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_135.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_136.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_137.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_138.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_139.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_14.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_140.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_141.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_142.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_143.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_144.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_146.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_147.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_148.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_149.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_15.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_150.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_151.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_152.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_153.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_158.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_16.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_161.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_164.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_166.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_167.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_168.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_169.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_171.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_172.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_173.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_174.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_175.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_176.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_177.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_178.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_179.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_18.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_180.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_181.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_182.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_183.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_184.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_185.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_186.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_187.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_188.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_189.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_19.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_190.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_191.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_192.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_193.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_194.jpg,american bulldog,dog
F:\suryesh project\vision_pipeline\images\processed\processed_american_bulldog_196.jpg,american bulldog,dog
